F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
4 S root           1       0  0  80   0 -  5884 -      08:47 ?        00:00:02 /sbin/init splash
1 S root           2       0  0  80   0 -     0 -      08:47 ?        00:00:00 [kthreadd]
1 S root           3       2  0  80   0 -     0 -      08:47 ?        00:00:00 [pool_workqueue_release]
1 I root           4       2  0  60 -20 -     0 -      08:47 ?        00:00:00 [kworker/R-rcu_gp]
1 I root           5       2  0  60 -20 -     0 -      08:47 ?        00:00:00 [kworker/R-sync_wq]
1 I root           6       2  0  60 -20 -     0 -      08:47 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
1 I root           7       2  0  60 -20 -     0 -      08:47 ?        00:00:00 [kworker/R-slub_flushwq]
1 I root           8       2  0  60 -20 -     0 -      08:47 ?        00:00:00 [kworker/R-netns]
1 I root          10       2  0  60 -20 -     0 -      08:47 ?        00:00:00 [kworker/0:0H-events_highpri]
1 I root          13       2  0  60 -20 -     0 -      08:47 ?        00:00:00 [kworker/R-mm_percpu_wq]
1 I root          14       2  0  80   0 -     0 -      08:47 ?        00:00:00 [rcu_tasks_kthread]
1 I root          15       2  0  80   0 -     0 -      08:47 ?        00:00:00 [rcu_tasks_rude_kthread]
1 I root          16       2  0  80   0 -     0 -      08:47 ?        00:00:00 [rcu_tasks_trace_kthread]
1 S root          17       2  0  80   0 -     0 -      08:47 ?        00:00:00 [ksoftirqd/0]
1 I root          18       2  0  80   0 -     0 -      08:47 ?        00:00:02 [rcu_preempt]
1 S root          19       2  0  80   0 -     0 -      08:47 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/0]
1 S root          20       2  0  80   0 -     0 -      08:47 ?        00:00:00 [rcu_exp_gp_kthread_worker]
1 S root          21       2  0 -40   - -     0 -      08:47 ?        00:00:00 [migration/0]
1 S root          22       2  0   9   - -     0 -      08:47 ?        00:00:00 [idle_inject/0]
1 S root          23       2  0  80   0 -     0 -      08:47 ?        00:00:00 [cpuhp/0]
5 S root          24       2  0  80   0 -     0 -      08:47 ?        00:00:00 [cpuhp/2]
1 S root          25       2  0   9   - -     0 -      08:47 ?        00:00:00 [idle_inject/2]
1 S root          26       2  0 -40   - -     0 -      08:47 ?        00:00:00 [migration/2]
1 S root          27       2  0  80   0 -     0 -      08:47 ?        00:00:00 [ksoftirqd/2]
1 I root          29       2  0  60 -20 -     0 -      08:47 ?        00:00:00 [kworker/2:0H-events_highpri]
5 S root          30       2  0  80   0 -     0 -      08:47 ?        00:00:00 [cpuhp/4]
1 S root          31       2  0   9   - -     0 -      08:47 ?        00:00:00 [idle_inject/4]
1 S root          32       2  0 -40   - -     0 -      08:47 ?        00:00:00 [migration/4]
1 S root          33       2  0  80   0 -     0 -      08:47 ?        00:00:00 [ksoftirqd/4]
1 I root          35       2  0  60 -20 -     0 -      08:47 ?        00:00:00 [kworker/4:0H-events_highpri]
5 S root          36       2  0  80   0 -     0 -      08:47 ?        00:00:00 [cpuhp/6]
1 S root          37       2  0   9   - -     0 -      08:47 ?        00:00:00 [idle_inject/6]
1 S root          38       2  0 -40   - -     0 -      08:47 ?        00:00:00 [migration/6]
1 S root          39       2  0  80   0 -     0 -      08:47 ?        00:00:00 [ksoftirqd/6]
1 I root          41       2  0  60 -20 -     0 -      08:47 ?        00:00:00 [kworker/6:0H-events_highpri]
5 S root          42       2  0  80   0 -     0 -      08:47 ?        00:00:00 [cpuhp/8]
1 S root          43       2  0   9   - -     0 -      08:47 ?        00:00:00 [idle_inject/8]
1 S root          44       2  0 -40   - -     0 -      08:47 ?        00:00:00 [migration/8]
1 S root          45       2  0  80   0 -     0 -      08:47 ?        00:00:00 [ksoftirqd/8]
1 I root          47       2  0  60 -20 -     0 -      08:47 ?        00:00:00 [kworker/8:0H-events_highpri]
